invoice_number,invoice_group_id,client_number,group_status,group_outcome,active_legs,group_created_at,group_updated_at,import_batch
1848421270,335,ZC48361H,Awaiting Response,Pending,2,2026-04-28 14:06:06.216138+00,2026-05-02 08:08:42.911+00,import_1777385152477
1858998540,334,TJ64566X,Awaiting Response,Pending,3,2026-04-28 14:06:06.149389+00,2026-05-02 08:08:42.714+00,import_1777385152477
1858669120,330,AD33888D,Awaiting Response,Pending,2,2026-04-28 14:06:05.940348+00,2026-05-02 08:08:42.515+00,import_1777385152477
1859420660,326,TJ64566X,Awaiting Response,Pending,2,2026-04-28 14:06:05.73976+00,2026-05-02 08:08:42.319+00,import_1777385152477
1858114660,324,NU16482Q,Awaiting Response,Pending,2,2026-04-28 14:06:05.635626+00,2026-05-02 08:08:42.123+00,import_1777385152477
1858538050,323,XM01080K,Awaiting Response,Pending,2,2026-04-28 14:06:05.586385+00,2026-05-02 08:08:41.927+00,import_1777385152477
1858069890,287,FV77281Y,Awaiting Response,Pending,2,2026-04-28 14:06:03.886951+00,2026-05-02 08:08:41.49+00,import_1777385152477
1858567760,286,FV77281Y,Awaiting Response,Pending,1,2026-04-28 14:06:03.850097+00,2026-05-02 08:08:41.292+00,import_1777385152477
1857868680,283,XN79890J,Awaiting Response,Pending,2,2026-04-28 14:06:03.698608+00,2026-05-02 08:08:41.097+00,import_1777385152477
1857361390,282,DN27742J,Awaiting Response,Pending,2,2026-04-28 14:06:03.648063+00,2026-05-02 08:08:40.901+00,import_1777385152477
1848384320,279,ZQ96862H,Awaiting Response,Pending,2,2026-04-28 14:06:03.515796+00,2026-05-02 08:08:40.695+00,import_1777385152477
1855424110,274,ZJ52800V,Awaiting Response,Pending,2,2026-04-28 14:06:03.299025+00,2026-05-02 08:08:40.5+00,import_1777385152477
1857814610,251,SZ17672E,Awaiting Response,Pending,1,2026-04-28 14:06:02.258131+00,2026-05-02 08:08:39.802+00,import_1777385152477
1804110140,250,WG58885B,Awaiting Response,Pending,2,2026-04-28 14:06:02.206359+00,2026-05-02 08:08:39.603+00,import_1777385152477
1856444080,246,PR38178X,Awaiting Response,Pending,1,2026-04-28 14:06:02.020107+00,2026-05-02 08:08:39.404+00,import_1777385152477
1857732970,245,ZZ92893M,Awaiting Response,Pending,2,2026-04-28 14:06:01.970391+00,2026-05-02 08:08:39.208+00,import_1777385152477
1854509700,237,BX77243D,Awaiting Response,Pending,2,2026-04-28 14:06:01.545459+00,2026-05-02 08:08:38.988+00,import_1777385152477
1855950760,229,PU84248P,Awaiting Response,Pending,1,2026-04-28 14:06:01.206459+00,2026-05-02 08:08:38.727+00,import_1777385152477
1855942940,223,ZH63127Z,Awaiting Response,Pending,2,2026-04-28 14:06:00.916886+00,2026-05-02 08:08:38.53+00,import_1777385152477
1856270640,168,ZW60363R,Awaiting Response,Pending,2,2026-04-28 14:05:58.072946+00,2026-05-02 08:08:34.102+00,import_1777385152477
1855950650,155,BW64641E,Awaiting Response,Pending,2,2026-04-28 14:05:57.410297+00,2026-05-02 08:08:32.207+00,import_1777385152477
1854967780,153,RN88442D,Awaiting Response,Pending,2,2026-04-28 14:05:57.329582+00,2026-05-02 08:08:32.008+00,import_1777385152477
1855065680,112,ND44430V,Awaiting Response,Pending,2,2026-04-28 14:05:55.409031+00,2026-05-02 08:08:26.882+00,import_1777385152477
1862964150,52,NZ09432W,Awaiting Response,Pending,2,2026-04-16 18:03:22.495137+00,2026-05-02 08:08:18.467+00,backfill_1776362604062
1869291750,1066,HN04776C,Resolved,Non-Issue,2,2026-04-28 14:39:03.56504+00,2026-04-28 15:15:14.939+00,import_1777387119750
1861923220,1,ZW77764X,Resolved,Non-Issue,2,2026-04-16 18:03:22.495137+00,2026-04-28 14:04:30.757+00,backfill_1776362602558
1862978290,41,FX53141Z,Resolved,Non-Issue,2,2026-04-16 18:03:22.495137+00,2026-04-28 14:02:08.863+00,backfill_1776362603742
1863740650,40,ND67790W,Resolved,Non-Issue,1,2026-04-16 18:03:22.495137+00,2026-04-28 13:35:11.703+00,backfill_1776362603714
1863647360,39,ZH64386R,Resolved,Non-Issue,1,2026-04-16 18:03:22.495137+00,2026-04-28 13:30:18.096+00,backfill_1776362603680
1863481080,38,TB88437Q,Resolved,Non-Issue,2,2026-04-16 18:03:22.495137+00,2026-04-28 13:29:29.417+00,backfill_1776362603650
1863585400,34,DN27742J,Resolved,Non-Issue,2,2026-04-16 18:03:22.495137+00,2026-04-28 13:28:30.242+00,backfill_1776362603529
1860738080,24,TC24074X,Resolved,Non-Issue,1,2026-04-16 18:03:22.495137+00,2026-04-28 13:20:02.947+00,backfill_1776362603240
