invoice_group_id,invoice_number,client_number,group_status,group_outcome,group_created_at,group_updated_at,claim_id,conf_number,ref_number,car_number,service_date,claim_amount,error_details,error_type_id,included_in_dispute,duplicate_of_claim_id,import_batch
643,1862155690,EV18785B,Awaiting Response,Pending,2026-04-28 14:38:44.23328+00,2026-05-02 08:08:51.065+00,1236,14976799,1862155690 403441868,5175,4/17/2026,23.31,,,t,,import_1777387119750
643,1862155690,EV18785B,Awaiting Response,Pending,2026-04-28 14:38:44.23328+00,2026-05-02 08:08:51.065+00,1237,14976798,1862155690 403441869,798,4/17/2026,23.31,,,t,,import_1777387119750
638,1863808300,ZB49314A,Awaiting Response,Pending,2026-04-28 14:38:43.949644+00,2026-05-02 08:08:50.87+00,1224,14994793,1863808300 403768139,205,4/17/2026,30.05,,,t,,import_1777387119750
638,1863808300,ZB49314A,Awaiting Response,Pending,2026-04-28 14:38:43.949644+00,2026-05-02 08:08:50.87+00,1225,14994792,1863808300 403768140,4954,4/17/2026,22.97,,,t,,import_1777387119750
629,1831588390,US94256X,Awaiting Response,Pending,2026-04-28 14:38:43.526749+00,2026-05-02 08:08:50.481+00,1207,14963255,1831588390 397406239,3527,4/16/2026,47.93,,,t,,import_1777387119750
629,1831588390,US94256X,Awaiting Response,Pending,2026-04-28 14:38:43.526749+00,2026-05-02 08:08:50.481+00,1208,14963234,1831588390 397406240,739,4/16/2026,47.93,,,t,,import_1777387119750
619,1864416650,US94256X,Awaiting Response,Pending,2026-04-28 14:38:43.111497+00,2026-05-02 08:08:50.284+00,1191,15002426,1864416650 403887693,4645,4/16/2026,47.93,,,t,,import_1777387119750
619,1864416650,US94256X,Awaiting Response,Pending,2026-04-28 14:38:43.111497+00,2026-05-02 08:08:50.284+00,1192,15002425,1864416650 403887695,1202,4/16/2026,68.19,,,t,,import_1777387119750
619,1864416650,US94256X,Awaiting Response,Pending,2026-04-28 14:38:43.111497+00,2026-05-02 08:08:50.284+00,1193,15004286,1864416650 403971883,5180,4/16/2026,48.22,,,t,,import_1777387119750
587,1860745070,TG46153S,Awaiting Response,Pending,2026-04-28 14:38:41.611963+00,2026-05-02 08:08:49.891+00,1129,14966093,1860745070 403164758,665,4/16/2026,22.97,,,t,,import_1777387119750
587,1860745070,TG46153S,Awaiting Response,Pending,2026-04-28 14:38:41.611963+00,2026-05-02 08:08:49.891+00,1130,14966100,1860745070 403164759,1392,4/16/2026,22.97,,,t,,import_1777387119750
586,1864377040,YY19853U,Awaiting Response,Pending,2026-04-28 14:38:41.563142+00,2026-05-02 08:08:49.696+00,1127,14997815,1864377040 403880174,,4/16/2026,26.47,,,t,,import_1777387119750
586,1864377040,YY19853U,Awaiting Response,Pending,2026-04-28 14:38:41.563142+00,2026-05-02 08:08:49.696+00,1128,14997814,1864377040 403880173,1496,4/16/2026,47.93,,,t,,import_1777387119750
568,1862878290,CK95350P,Awaiting Response,Pending,2026-04-28 14:38:40.766254+00,2026-05-02 08:08:48.884+00,1095,14981442,1862878290 403585074,1090,4/15/2026,18.60,,,t,,import_1777387119750
568,1862878290,CK95350P,Awaiting Response,Pending,2026-04-28 14:38:40.766254+00,2026-05-02 08:08:48.884+00,1096,14981443,1862878290 403585072,4955,4/15/2026,18.60,,,t,,import_1777387119750
539,1860879400,CV38525D,Awaiting Response,Pending,2026-04-28 14:06:16.271061+00,2026-05-02 08:08:48.086+00,1040,14959048,1860879400 403191249,96,4/13/2026,47.93,,,t,,import_1777385152477
539,1860879400,CV38525D,Awaiting Response,Pending,2026-04-28 14:06:16.271061+00,2026-05-02 08:08:48.086+00,1041,14959049,1860879400 403191250,2169,4/13/2026,47.93,,,t,,import_1777385152477
537,1859099250,QU72304M,Awaiting Response,Pending,2026-04-28 14:06:16.171489+00,2026-05-02 08:08:47.891+00,1036,14942525,1859099250 402838462,5183,4/13/2026,22.97,,,t,,import_1777385152477
537,1859099250,QU72304M,Awaiting Response,Pending,2026-04-28 14:06:16.171489+00,2026-05-02 08:08:47.891+00,1037,14942523,1859099250 402838465,2004,4/13/2026,22.97,,,t,,import_1777385152477
536,1862024340,NZ15223A,Awaiting Response,Pending,2026-04-28 14:06:16.122135+00,2026-05-02 08:08:47.693+00,1034,14970495,1862024340 403417334,1640,4/13/2026,22.97,,,t,,import_1777385152477
536,1862024340,NZ15223A,Awaiting Response,Pending,2026-04-28 14:06:16.122135+00,2026-05-02 08:08:47.693+00,1035,14970494,1862024340 403417335,2452,4/13/2026,22.97,,,t,,import_1777385152477
534,1861422860,KT23843K,Awaiting Response,Pending,2026-04-28 14:06:16.022926+00,2026-05-02 08:08:47.496+00,1030,14964490,1861422860 403298267,2701,4/13/2026,22.97,,,t,,import_1777385152477
534,1861422860,KT23843K,Awaiting Response,Pending,2026-04-28 14:06:16.022926+00,2026-05-02 08:08:47.496+00,1031,14964489,1861422860 403298268,1198,4/13/2026,22.97,,,t,,import_1777385152477
