invoice_number,present_on_portal,portal_ticket_ids,portal_status,portal_category,portal_created,present_in_claimclear,claimclear_status,claimclear_outcome,claimclear_id
1825311060,yes,89607,Closed,GPS Control Deviation,2026-05-12 14:05:10,no,,,
1825444370,yes,88354,Closed,GPS Control Deviation,2026-05-09 12:45:26,no,,,
1825446080,yes,92403,Closed,GPS Control Deviation,2026-05-20 18:40:38,no,,,
1825446190,yes,92292,Closed,GPS Control Deviation,2026-05-20 14:07:35,no,,,
1825707320,yes,85136,Closed,GPS Control Deviation,2026-04-28 19:14:12,no,,,
1826625250,yes,88347,Closed,GPS Control Deviation,2026-05-09 12:43:20,no,,,
1826625270,yes,89603,Closed,GPS Control Deviation,2026-05-12 14:04:00,no,,,
1826759660,yes,89596,Closed,GPS Control Deviation,2026-05-12 14:02:03,no,,,
1826979570,yes,92180,Closed,GPS Control Deviation,2026-05-20 11:07:08,no,,,
1828126580,yes,88602,Closed,GPS Control Deviation,2026-05-09 17:44:41,no,,,
1828338960,yes,88274,Closed,GPS Control Deviation,2026-05-08 18:08:00,no,,,
1828685830,yes,89964,Closed,GPS Control Deviation,2026-05-13 14:01:10,no,,,
1829190930,yes,88700,Closed,GPS Control Deviation,2026-05-09 19:50:51,no,,,
1829502060,yes,85103,Closed,GPS Control Deviation,2026-04-28 19:04:00,no,,,
1829732450,yes,87160,Closed,GPS Control Deviation,2026-05-05 18:00:45,no,,,
1830060400,yes,87318,Closed,GPS Control Deviation,2026-05-06 11:00:34,no,,,
1830114650,yes,89613,Closed,GPS Control Deviation,2026-05-12 14:06:52,no,,,
1830324120,yes,88584,Closed,GPS Control Deviation,2026-05-09 17:39:40,no,,,
1831196190,yes,91499,Closed,GPS Control Deviation,2026-05-18 22:04:21,no,,,
1831958690,yes,85138,Closed,GPS Control Deviation,2026-04-28 19:14:25,no,,,
1832154370,yes,87317,Closed,GPS Control Deviation,2026-05-06 11:00:18,no,,,
1832220170,yes,85118,Closed,GPS Control Deviation,2026-04-28 19:06:11,no,,,
1832336120,yes,89969,Closed,GPS Control Deviation,2026-05-13 14:02:34,no,,,
1833679120,yes,87900,Closed,GPS Control Deviation,2026-05-07 22:02:03,no,,,
1833679180,yes,88593,Closed,GPS Control Deviation,2026-05-09 17:42:12,no,,,
1833679210,yes,91438,Closed,GPS Control Deviation,2026-05-18 18:54:43,no,,,
1833736170,yes,88455,Closed,GPS Control Deviation,2026-05-09 16:40:02,no,,,
1833808960,yes,88539,Closed,GPS Control Deviation,2026-05-09 17:03:03,no,,,
1833871600,yes,85144,Closed,GPS Control Deviation,2026-04-28 19:16:05,no,,,
1833887080,yes,90455,Closed,GPS Control Deviation,2026-05-14 17:03:26,no,,,
1834698690,yes,88413,Closed,GPS Control Deviation,2026-05-09 16:22:02,no,,,
1834836370,yes,90668,Closed,GPS Control Deviation,2026-05-15 14:01:53,no,,,
1835647230,yes,87163,Closed,GPS Control Deviation,2026-05-05 18:01:35,no,,,
1836350730,yes,88288,Closed,GPS Control Deviation,2026-05-08 18:11:56,no,,,
1836536660,yes,91386,Closed,GPS Control Deviation,2026-05-18 18:05:10,no,,,
1836925180,yes,92857,Open,GPS Control Deviation,2026-05-21 22:55:26,no,,,
1836925240,yes,92169,Closed,GPS Control Deviation,2026-05-20 11:04:18,no,,,
1837942600,yes,88466,Closed,GPS Control Deviation,2026-05-09 16:43:15,no,,,
1837957360,yes,86803,Closed,GPS Control Deviation,2026-05-04 18:00:52,no,,,
1838191620,yes,85070,Closed,GPS Control Deviation,2026-04-28 18:10:48,no,,,
1838195850,yes,85154,Closed,GPS Control Deviation,2026-04-28 19:18:19,no,,,
1838965660,yes,88377,Closed,GPS Control Deviation,2026-05-09 16:12:29,no,,,
1840321750,yes,88683,Closed,GPS Control Deviation,2026-05-09 19:46:07,no,,,
1840520910,yes,85102,Closed,GPS Control Deviation,2026-04-28 19:04:00,no,,,
1840529780,yes,88493,Closed,GPS Control Deviation,2026-05-09 16:50:39,no,,,
1841037610,yes,90468,Closed,GPS Control Deviation,2026-05-14 17:07:05,no,,,
1841075970,yes,88685,Closed,GPS Control Deviation,2026-05-09 19:46:39,no,,,
1841126890,yes,88476,Closed,GPS Control Deviation,2026-05-09 16:45:52,no,,,
1842066700,yes,88654,Closed,GPS Control Deviation,2026-05-09 19:38:05,no,,,
1842287770,yes,87862,Closed,GPS Control Deviation,2026-05-07 18:04:54,no,,,
1842637850,yes,89601,Closed,GPS Control Deviation,2026-05-12 14:03:28,no,,,
1842873910,yes,88293,Closed,GPS Control Deviation,2026-05-08 18:13:31,no,,,
1842899200,yes,88511,Closed,GPS Control Deviation,2026-05-09 16:55:34,no,,,
1843689670,yes,88626,Closed,GPS Control Deviation,2026-05-09 19:29:46,no,,,
1843895000,yes,88261,Closed,GPS Control Deviation,2026-05-08 18:04:24,no,,,
1844199410,yes,88650,Closed,GPS Control Deviation,2026-05-09 19:36:54,no,,,
1844360240,yes,87854,Closed,GPS Control Deviation,2026-05-07 18:02:30,no,,,
1844497880,yes,88551,Closed,GPS Control Deviation,2026-05-09 17:30:06,no,,,
1844502540,yes,88295,Closed,GPS Control Deviation,2026-05-08 18:14:07,no,,,
1844917270,yes,92160,Closed,GPS Control Deviation,2026-05-20 11:01:50,no,,,
1845043220,yes,85107,Closed,GPS Control Deviation,2026-04-28 19:04:33,no,,,
1845043270,yes,88537,Closed,GPS Control Deviation,2026-05-09 17:02:27,no,,,
1845079550,yes,89608,Closed,GPS Control Deviation,2026-05-12 14:05:28,no,,,
1845093530,yes,88688,Closed,GPS Control Deviation,2026-05-09 19:47:33,no,,,
1845479280,yes,88132,Closed,GPS Control Deviation,2026-05-08 14:01:13,no,,,
1845479290,yes,88523,Closed,GPS Control Deviation,2026-05-09 16:58:56,no,,,
1845534860,yes,87758,Closed,GPS Control Deviation,2026-05-07 14:00:44,no,,,
1845573610,yes,91629,Closed,GPS Control Deviation,2026-05-19 11:00:51,no,,,
1846045330,yes,85161,Closed,GPS Control Deviation,2026-04-28 19:19:56,no,,,
1846089520,yes,88458,Closed,GPS Control Deviation,2026-05-09 16:40:58,no,,,
1846818870,yes,85120,Closed,GPS Control Deviation,2026-04-28 19:06:27,no,,,
1847398500,yes,88395,Closed,GPS Control Deviation,2026-05-09 16:17:43,no,,,
1847580740,yes,88686,Closed,GPS Control Deviation,2026-05-09 19:46:55,no,,,
1847918090,yes,88444,Closed,GPS Control Deviation,2026-05-09 16:37:00,no,,,
1848054200,yes,87158,Closed,GPS Control Deviation,2026-05-05 18:00:10,no,,,
1848054260,yes,88562,Closed,GPS Control Deviation,2026-05-09 17:33:19,no,,,
1848206320,yes,85718|85716,Closed|Closed,GPS Control Deviation,2026-04-30 11:00:34,no,,,
1848377730,yes,85075,Closed,GPS Control Deviation,2026-04-28 18:16:27,no,,,
1848806840,yes,91505,Closed,GPS Control Deviation,2026-05-18 22:28:43,no,,,
1848959040,yes,88346,Closed,GPS Control Deviation,2026-05-09 12:43:03,no,,,
1849160800,yes,88689,Closed,GPS Control Deviation,2026-05-09 19:47:49,no,,,
1849163690,yes,88416,Closed,GPS Control Deviation,2026-05-09 16:22:40,no,,,
1849189340,yes,88658,Closed,GPS Control Deviation,2026-05-09 19:39:11,no,,,
1849221980,yes,85065,Closed,GPS Control Deviation,2026-04-28 18:09:03,no,,,
1849951770,yes,87868,Closed,GPS Control Deviation,2026-05-07 18:06:19,no,,,
1849978490,yes,88036,Closed,GPS Control Deviation,2026-05-08 11:00:18,no,,,
1850081360,yes,85993,Closed,GPS Control Deviation,2026-04-30 18:05:57,no,,,
1850083280,yes,88275,Closed,GPS Control Deviation,2026-05-08 18:08:17,no,,,
1850245180,yes,88049,Closed,GPS Control Deviation,2026-05-08 11:03:48,no,,,
1850584080,yes,88485,Closed,GPS Control Deviation,2026-05-09 16:48:32,no,,,
1850591540,yes,85994,Closed,GPS Control Deviation,2026-04-30 18:12:34,no,,,
1851063380,yes,86801,Closed,GPS Control Deviation,2026-05-04 18:00:19,no,,,
1851234700,yes,92307,Closed,GPS Control Deviation,2026-05-20 14:11:55,no,,,
1851271830,yes,88633,Closed,GPS Control Deviation,2026-05-09 19:31:48,no,,,
1851511470,yes,85112,Closed,GPS Control Deviation,2026-04-28 19:05:20,no,,,
1851566390,yes,85074,Closed,GPS Control Deviation,2026-04-28 18:14:48,no,,,
1851644580,yes,85123,Closed,GPS Control Deviation,2026-04-28 19:07:32,no,,,
1851677970,yes,92272,Closed,GPS Control Deviation,2026-05-20 14:01:08,no,,,
1851774760,yes,87135,Closed,GPS Control Deviation,2026-05-05 16:48:09,no,,,
1851982680,yes,87138,Closed,GPS Control Deviation,2026-05-05 16:49:02,no,,,
1852064220,yes,87851,Closed,GPS Control Deviation,2026-05-07 18:01:54,no,,,
1852072120,yes,88566,Closed,GPS Control Deviation,2026-05-09 17:34:32,no,,,
1852113730,yes,88499,Closed,GPS Control Deviation,2026-05-09 16:52:26,no,,,
1852130220,yes,85145,Closed,GPS Control Deviation,2026-04-28 19:16:20,no,,,
1852367960,yes,88257,Closed,GPS Control Deviation,2026-05-08 18:03:17,no,,,
1852397820,yes,88277,Closed,GPS Control Deviation,2026-05-08 18:08:50,no,,,
1852398780,yes,88565,Closed,GPS Control Deviation,2026-05-09 17:34:15,no,,,
1852398810,yes,92297,Closed,GPS Control Deviation,2026-05-20 14:09:10,no,,,
1852527230,yes,88526,Closed,GPS Control Deviation,2026-05-09 16:59:48,no,,,
1852543460,yes,85051|85050|85049|85048|85047|85046|85045|85044|85043|85042|85041|85040,Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed,GPS Control Deviation,2026-04-28 18:05:25,no,,,
1852573610,yes,85142,Closed,GPS Control Deviation,2026-04-28 19:14:58,no,,,
1852599100,yes,92275,Closed,GPS Control Deviation,2026-05-20 14:02:13,no,,,
1852609470,yes,87320,Closed,GPS Control Deviation,2026-05-06 11:01:09,no,,,
1852610640,yes,88255,Closed,GPS Control Deviation,2026-05-08 18:02:44,no,,,
1852610650,yes,87894,Closed,GPS Control Deviation,2026-05-07 22:00:20,no,,,
1852610660,yes,88387,Closed,GPS Control Deviation,2026-05-09 16:15:36,no,,,
1852610680,yes,88470,Closed,GPS Control Deviation,2026-05-09 16:44:18,no,,,
1852610690,yes,88465,Closed,GPS Control Deviation,2026-05-09 16:42:58,no,,,
1852610700,yes,90675,Closed,GPS Control Deviation,2026-05-15 14:04:11,no,,,
1852610710,yes,88678,Closed,GPS Control Deviation,2026-05-09 19:44:38,no,,,
1852653090,yes,90073,Closed,GPS Control Deviation,2026-05-13 18:01:35,no,,,
1852654940,yes,87164,Closed,GPS Control Deviation,2026-05-05 18:01:53,no,,,
1852747070,yes,85061,Closed,GPS Control Deviation,2026-04-28 18:07:57,no,,,
1852790030,yes,88290,Closed,GPS Control Deviation,2026-05-08 18:12:30,no,,,
1852902300,yes,88559,Closed,GPS Control Deviation,2026-05-09 17:32:30,no,,,
1852917170,yes,85067,Closed,GPS Control Deviation,2026-04-28 18:09:35,no,,,
1853072180,yes,85131,Closed,GPS Control Deviation,2026-04-28 19:08:36,no,,,
1853169520,yes,89475,Closed,GPS Control Deviation,2026-05-12 11:01:31,no,,,
1853176210,yes,87846,Closed,GPS Control Deviation,2026-05-07 18:00:18,no,,,
1853316220,yes,90467,Closed,GPS Control Deviation,2026-05-14 17:06:48,no,,,
1853395590,yes,88250,Closed,GPS Control Deviation,2026-05-08 18:01:38,no,,,
1853419460,yes,85114,Closed,GPS Control Deviation,2026-04-28 19:05:37,no,,,
1853570390,yes,85888,Closed,GPS Control Deviation,2026-04-30 14:00:16,no,,,
1853626480,yes,85068,Closed,GPS Control Deviation,2026-04-28 18:09:52,no,,,
1853850990,yes,85889,Closed,GPS Control Deviation,2026-04-30 14:00:31,no,,,
1853858630,yes,88605,Closed,GPS Control Deviation,2026-05-09 17:45:28,no,,,
1853859580,yes,85121,Closed,GPS Control Deviation,2026-04-28 19:06:30,no,,,
1853873600,yes,88482,Closed,GPS Control Deviation,2026-05-09 16:47:37,no,,,
1853877420,yes,89590,Closed,GPS Control Deviation,2026-05-12 14:00:21,no,,,
1853940620,yes,87134,Closed,GPS Control Deviation,2026-05-05 16:47:54,no,,,
1853940690,yes,88037,Closed,GPS Control Deviation,2026-05-08 11:00:36,no,,,
1853941440,yes,88394,Closed,GPS Control Deviation,2026-05-09 16:17:28,no,,,
1854058610,yes,85063|85060|85059|85058|85056|85055|85054|85053,Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed,GPS Control Deviation,2026-04-28 18:08:30,no,,,
1854134910,yes,85451,Closed,GPS Control Deviation,2026-04-29 14:32:10,no,,,
1854145840,yes,90677,Closed,GPS Control Deviation,2026-05-15 14:04:55,no,,,
1854146890,yes,85117,Closed,GPS Control Deviation,2026-04-28 19:05:54,no,,,
1854176610,yes,88301,Closed,GPS Control Deviation,2026-05-08 18:15:50,no,,,
1854191820,yes,89471,Closed,GPS Control Deviation,2026-05-12 11:00:18,no,,,
1854266720,yes,85066,Closed,GPS Control Deviation,2026-04-28 18:09:19,no,,,
1854341230,yes,85071,Closed,GPS Control Deviation,2026-04-28 18:12:14,no,,,
1854349170,yes,92419,Closed,GPS Control Deviation,2026-05-20 18:56:35,no,,,
1854423260,yes,87853,Closed,GPS Control Deviation,2026-05-07 18:02:12,no,,,
1854459080,yes,87170,Closed,GPS Control Deviation,2026-05-05 18:08:18,no,,,
1854459980,yes,89592,Closed,GPS Control Deviation,2026-05-12 14:00:54,no,,,
1854504290,yes,92027|91984|91769,Closed|Closed|Closed,GPS Control Deviation,2026-05-20 08:00:10,no,,,
1854510670,yes,85137,Closed,GPS Control Deviation,2026-04-28 19:14:24,no,,,
1854528720,yes,85449,Closed,GPS Control Deviation,2026-04-29 14:28:56,no,,,
1854543690,yes,85069,Closed,GPS Control Deviation,2026-04-28 18:10:08,no,,,
1854596020,yes,85237,Closed,GPS Control Deviation,2026-04-29 08:48:32,no,,,
1854602950,yes,85133,Closed,GPS Control Deviation,2026-04-28 19:13:53,no,,,
1854609510,yes,85997,Closed,GPS Control Deviation,2026-04-30 18:27:56,no,,,
1854660490,yes,85125,Closed,GPS Control Deviation,2026-04-28 19:07:48,no,,,
1854695760,yes,88516,Closed,GPS Control Deviation,2026-05-09 16:56:58,no,,,
1854712100,yes,85104,Closed,GPS Control Deviation,2026-04-28 19:04:16,no,,,
1854716330,yes,88655,Closed,GPS Control Deviation,2026-05-09 19:38:23,no,,,
1854734080,yes,85116,Closed,GPS Control Deviation,2026-04-28 19:05:54,no,,,
1854739160,yes,85052,Closed,GPS Control Deviation,2026-04-28 18:05:42,no,,,
1854838710,yes,85160,Closed,GPS Control Deviation,2026-04-28 19:19:39,no,,,
1854866980,yes,81187,Closed,GPS Control Deviation,2026-04-15 16:31:42,no,,,
1854872540,yes,87860,Closed,GPS Control Deviation,2026-05-07 18:04:18,no,,,
1854880200,yes,92402,Closed,GPS Control Deviation,2026-05-20 18:35:39,no,,,
1854900230,yes,88568,Closed,GPS Control Deviation,2026-05-09 17:35:07,no,,,
1854902170,yes,88424,Closed,GPS Control Deviation,2026-05-09 16:25:03,no,,,
1854963030,yes,85140,Closed,GPS Control Deviation,2026-04-28 19:14:41,no,,,
1854985550,yes,85108,Closed,GPS Control Deviation,2026-04-28 19:04:47,no,,,
1854997310,yes,85062,Closed,GPS Control Deviation,2026-04-28 18:08:13,no,,,
1854999190,yes,85719,Closed,GPS Control Deviation,2026-04-30 11:00:50,no,,,
1854999220,yes,85135,Closed,GPS Control Deviation,2026-04-28 19:14:09,no,,,
1855019540,yes,85720,Closed,GPS Control Deviation,2026-04-30 11:01:06,no,,,
1855128460,yes,88252,Closed,GPS Control Deviation,2026-05-08 18:02:09,no,,,
1855138880,yes,85444,Closed,GPS Control Deviation,2026-04-29 14:17:01,no,,,
1855159470,yes,85106,Closed,GPS Control Deviation,2026-04-28 19:04:32,no,,,
1855228040,yes,85099,Closed,GPS Control Deviation,2026-04-28 19:00:30,no,,,
1855241540,yes,85426,Closed,GPS Control Deviation,2026-04-29 13:34:46,no,,,
1855262100,yes,85440,Closed,GPS Control Deviation,2026-04-29 14:08:24,no,,,
1855277160,yes,88264,Closed,GPS Control Deviation,2026-05-08 18:05:13,no,,,
1855372860,yes,85113,Closed,GPS Control Deviation,2026-04-28 19:05:22,no,,,
1855378920,yes,85159|85158|85157|85130|85095|85096|85091|85089|85087|85084|85083,Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed|Closed,GPS Control Deviation,2026-04-28 19:19:23,no,,,
1855411380,yes,88563,Closed,GPS Control Deviation,2026-05-09 17:33:36,no,,,
1855487380,yes,88580,Closed,GPS Control Deviation,2026-05-09 17:38:33,no,,,
1855512460,yes,85093,Closed,GPS Control Deviation,2026-04-28 18:58:50,no,,,
1855525230,yes,85235,Closed,GPS Control Deviation,2026-04-29 08:41:28,no,,,
1855568150,yes,88263,Closed,GPS Control Deviation,2026-05-08 18:04:56,no,,,
1855582000,yes,88671,Closed,GPS Control Deviation,2026-05-09 19:42:45,no,,,
1855788320,yes,88601,Closed,GPS Control Deviation,2026-05-09 17:44:25,no,,,
1855812510,yes,85101,Closed,GPS Control Deviation,2026-04-28 19:03:13,no,,,
1855844500,yes,85097,Closed,GPS Control Deviation,2026-04-28 18:59:56,no,,,
1855902870,yes,87161,Closed,GPS Control Deviation,2026-05-05 18:01:02,no,,,
1855976160,yes,87850,Closed,GPS Control Deviation,2026-05-07 18:01:38,no,,,
1856292750,yes,87866,Closed,GPS Control Deviation,2026-05-07 18:05:45,no,,,
1856345000,yes,88249,Closed,GPS Control Deviation,2026-05-08 18:01:23,no,,,
1856536940,yes,88283,Closed,GPS Control Deviation,2026-05-08 18:10:32,no,,,
1856567990,yes,87142,Closed,GPS Control Deviation,2026-05-05 16:50:14,no,,,
1856606300,yes,88517,Closed,GPS Control Deviation,2026-05-09 16:57:16,no,,,
1856644670,yes,85398,Closed,GPS Control Deviation,2026-04-29 12:45:52,no,,,
1856909340,yes,92433,Closed,GPS Control Deviation,2026-05-20 21:10:45,no,,,
1856914190,yes,88372,Closed,GPS Control Deviation,2026-05-09 16:11:17,no,,,
1856925370,yes,88280,Closed,GPS Control Deviation,2026-05-08 18:09:40,no,,,
1856958660,yes,88266,Closed,GPS Control Deviation,2026-05-08 18:05:46,no,,,
1856990030,yes,89609,Closed,GPS Control Deviation,2026-05-12 14:05:45,no,,,
1857046080,yes,88448,Closed,GPS Control Deviation,2026-05-09 16:38:15,no,,,
1857105500,yes,85428,Closed,GPS Control Deviation,2026-04-29 13:36:34,no,,,
1857206330,yes,89599,Closed,GPS Control Deviation,2026-05-12 14:02:54,no,,,
1857311760,yes,88247,Closed,GPS Control Deviation,2026-05-08 18:00:50,no,,,
1857318570,yes,88552,Closed,GPS Control Deviation,2026-05-09 17:30:23,no,,,
1857419810,yes,87159,Closed,GPS Control Deviation,2026-05-05 18:00:28,no,,,
1857445340,yes,86804,Closed,GPS Control Deviation,2026-05-04 18:01:08,no,,,
1857451670,yes,87319,Closed,GPS Control Deviation,2026-05-06 11:00:52,no,,,
1857683040,yes,88618,Closed,GPS Control Deviation,2026-05-09 19:27:28,no,,,
1857718090,yes,87133,Closed,GPS Control Deviation,2026-05-05 16:47:37,no,,,
1857746010,yes,87162,Closed,GPS Control Deviation,2026-05-05 18:01:19,no,,,
1857779860,yes,88410,Closed,GPS Control Deviation,2026-05-09 16:21:15,no,,,
1857860880,yes,91101,Closed,GPS Control Deviation,2026-05-18 11:00:10,no,,,
1857867950,yes,88268,Closed,GPS Control Deviation,2026-05-08 18:06:18,no,,,
1857891790,yes,89981,Closed,GPS Control Deviation,2026-05-13 14:04:41,no,,,
1857915050,yes,87166,Closed,GPS Control Deviation,2026-05-05 18:02:26,no,,,
1857952680,yes,88048,Closed,GPS Control Deviation,2026-05-08 11:03:31,no,,,
