group_id,invoice_number,bucket,ticket_count,open_ticket_count,verdict_carrier_submission_id,submission_id,portal_ticket_id,live_portal_status,latest_message_signature,latest_message_outcome,scrape_error,latest_body_preview
312,1857890860,synthetic_only,1,0,,356,AAMkAGFhMzgwZGJjLTNkNjktNDlhYS1hM2I4LTE3MmI4YTlkNzhmMgBGAAAAAAAUhYVsiS-zQLf1GEtAsll-BwBVKgS5MpITR5VyLl_UBcCwAAAAAAEPAABVKgS5MpITR5VyLl_UBcCwAAVEZFMaAAA=,synthetic,,synthetic,,
316,1857954530,synthetic_only,1,0,,302,AAMkAGFhMzgwZGJjLTNkNjktNDlhYS1hM2I4LTE3MmI4YTlkNzhmMgBGAAAAAAAUhYVsiS-zQLf1GEtAsll-BwBVKgS5MpITR5VyLl_UBcCwAAAAAAEPAABVKgS5MpITR5VyLl_UBcCwAAVEZFMXAAA=,synthetic,,synthetic,,
321,1857975130,synthetic_only,1,0,,348,AAMkAGFhMzgwZGJjLTNkNjktNDlhYS1hM2I4LTE3MmI4YTlkNzhmMgBGAAAAAAAUhYVsiS-zQLf1GEtAsll-BwBVKgS5MpITR5VyLl_UBcCwAAAAAAEPAABVKgS5MpITR5VyLl_UBcCwAAVEZFMZAAA=,synthetic,,synthetic,,
384,1860108150,canonical_open,1,1,,603,88292,Open,,unknown,,[#88292] Dispute - Invoice #1860108150 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
385,1762714700,canonical_open,1,1,,613,88294,Open,,unknown,,[#88294] Dispute - Invoice #1762714700 - Time at Medical Facility Too Long (2 rides) : Medical Answering Services /* theme */ .port
386,1844502540,canonical_open,1,1,,615,88295,Open,,unknown,,[#88295] Dispute - Invoice #1844502540 - GPS Destination Too Far from Medical Facility (2 rides) : Medical Answering Services /* th
388,1803231380,canonical_open,1,1,,617,88296,Open,,unknown,,[#88296] Dispute - Invoice #1803231380 - Time at Medical Facility Too Long (2 rides) : Medical Answering Services /* theme */ .port
389,1775914990,canonical_open,1,1,,620,88298,Open,,unknown,,[#88298] Dispute - Invoice #1775914990 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
390,1859370960,canonical_open,1,1,,619,88297,Open,,unknown,,[#88297] Dispute - Invoice #1859370960 - Time at Medical Facility Too Long (2 rides) : Medical Answering Services /* theme */ .port
391,1859801090,canonical_open,1,1,,624,88300,Open,,unknown,,[#88300] Dispute - Invoice #1859801090 - Time at Medical Facility Too Long (2 rides) : Medical Answering Services /* theme */ .port
392,1809040550,canonical_open,1,1,,622,88299,Open,,unknown,,[#88299] Dispute - Invoice #1809040550 - Time at Medical Facility Too Long (2 rides) : Medical Answering Services /* theme */ .port
393,1842873910,canonical_open,1,1,,610,88293,Open,,unknown,,[#88293] Dispute - Invoice #1842873910 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
394,1854176610,canonical_open,1,1,,626,88301,Open,,unknown,,[#88301] Dispute - Invoice #1854176610 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
395,1785923790,canonical_open,1,1,,591,88286,Open,,unknown,,[#88286] Dispute - Invoice #1785923790 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
396,1852790030,canonical_open,1,1,,599,88290,Open,,unknown,,[#88290] Dispute - Invoice #1852790030 - Time at Medical Facility Too Long (2 rides) : Medical Answering Services /* theme */ .port
398,1836350730,canonical_open,1,1,,595,88288,Open,,unknown,,[#88288] Dispute - Invoice #1836350730 - Time at Medical Facility Too Long (2 rides) : Medical Answering Services /* theme */ .port
401,1859872390,canonical_open,1,1,,589,88285,Open,,unknown,,[#88285] Dispute - Invoice #1859872390 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
402,1856925370,canonical_open,1,1,,578,88280,Open,,unknown,,[#88280] Dispute - Invoice #1856925370 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
403,1856536940,canonical_open,1,1,,585,88283,Open,,unknown,,[#88283] Dispute - Invoice #1856536940 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
404,1855568150,canonical_open,1,1,,574,88263,Open,,unknown,,[#88263] Dispute - Invoice #1855568150 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
405,1859631390,canonical_open,1,1,,554,88262,Open,,unknown,,[#88262] Dispute - Invoice #1859631390 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
406,1860153920,canonical_open,1,1,,583,88282,Open,,unknown,,[#88282] Dispute - Invoice #1860153920 - Time at Medical Facility Too Long (2 rides) : Medical Answering Services /* theme */ .port
407,1855128460,canonical_open,1,1,,548,88252,Open,,unknown,,[#88252] Dispute - Invoice #1855128460 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
408,1860177180,canonical_open,1,1,,546,88246,Open,,unknown,,[#88246] Dispute - Invoice #1860177180 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
409,1850083280,canonical_open,1,1,,543,88275,Open,,unknown,,[#88275] Dispute - Invoice #1850083280 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
410,1858436960,canonical_open,1,1,,540,88273,Open,,unknown,,[#88273] Dispute - Invoice #1858436960 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
411,1856958660,canonical_open,1,1,,534,88266,Open,,unknown,,[#88266] Dispute - Invoice #1856958660 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
412,1843895000,canonical_open,1,1,,530,88261,Open,,unknown,,[#88261] Dispute - Invoice #1843895000 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
413,1852367960,canonical_open,1,1,,526,88257,Open,,unknown,,[#88257] Dispute - Invoice #1852367960 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
414,1859972270,canonical_open,1,1,,522,88254,Open,,unknown,,[#88254] Dispute - Invoice #1859972270 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
415,1853395590,canonical_open,1,1,,518,88250,Open,,unknown,,[#88250] Dispute - Invoice #1853395590 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
416,1856345000,canonical_open,1,1,,515,88249,Open,,unknown,,[#88249] Dispute - Invoice #1856345000 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
418,1858915060,canonical_open,1,1,,513,88248,Open,,unknown,,[#88248] Dispute - Invoice #1858915060 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
419,1857311760,canonical_open,1,1,,511,88247,Open,,unknown,,[#88247] Dispute - Invoice #1857311760 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
420,1860148080,canonical_open,1,1,,509,88245,Open,,unknown,,[#88245] Dispute - Invoice #1860148080 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
421,1860053630,canonical_open,1,1,,506,88276,Open,,unknown,,[#88276] Dispute - Invoice #1860053630 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
429,1861243470,canonical_open,1,1,,500,88131,Open,,unknown,,[#88131] Dispute - Invoice #1861243470 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
431,1845479280,canonical_open,1,1,,502,88132,Open,,unknown,,[#88132] Dispute - Invoice #1845479280 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
433,1776329940,canonical_open,1,1,,504,88133,Open,,unknown,,[#88133] Dispute - Invoice #1776329940 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
434,1859268490,canonical_open,1,1,,520,88251,Open,,unknown,,[#88251] Dispute - Invoice #1859268490 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
435,1852610640,canonical_open,1,1,,524,88255,Open,,unknown,,[#88255] Dispute - Invoice #1852610640 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
436,1774979290,canonical_open,1,1,,528,88258,Open,,unknown,,[#88258] Dispute - Invoice #1774979290 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
437,1855277160,canonical_open,1,1,,532,88264,Open,,unknown,,[#88264] Dispute - Invoice #1855277160 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
438,1860634140,canonical_open,1,1,,538,88270,Open,,unknown,,[#88270] Dispute - Invoice #1860634140 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
439,1857867950,canonical_open,1,1,,536,88268,Open,mas_ticket_under_review,acknowledgment,,"Hi Accounting Agape, Ticket Under Review This ticket will be reviewed for GPS compliance. Important Notice: In the future, please use the ""GPS Control Devia"
441,1852397820,canonical_open,1,1,,544,88277,Open,,unknown,,[#88277] Dispute - Invoice #1852397820 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
442,1859948720,canonical_open,1,1,,551,88256,Open,,unknown,,[#88256] Dispute - Invoice #1859948720 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
444,1858231280,canonical_open,1,1,,555,88259,Open,,unknown,,[#88259] Dispute - Invoice #1858231280 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
447,1859925940,canonical_open,1,1,,557,88265,Open,,unknown,,[#88265] Dispute - Invoice #1859925940 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
448,1859039270,canonical_open,1,1,,561,88271,Open,,unknown,,[#88271] Dispute - Invoice #1859039270 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
450,1860000010,canonical_open,1,1,,570,88272,Open,,unknown,,[#88272] Dispute - Invoice #1860000010 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
451,1858534770,canonical_open,1,1,,559,88267,Open,,unknown,,[#88267] Dispute - Invoice #1858534770 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
452,1822060350,canonical_open,1,1,,576,88279,Open,,unknown,,[#88279] Dispute - Invoice #1822060350 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
453,1797972180,canonical_open,1,1,,580,88281,Open,,unknown,,[#88281] Dispute - Invoice #1797972180 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
454,1858831150,canonical_open,1,1,,597,88289,Open,,unknown,,[#88289] Dispute - Invoice #1858831150 - Time at Medical Facility Too Short (1 ride) : Medical Answering Services /* theme */ .port
455,1828338960,canonical_open,1,1,,563,88274,Open,,unknown,,[#88274] Dispute - Invoice #1828338960 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
456,1859065510,canonical_open,1,1,,565,88278,Open,,unknown,,[#88278] Dispute - Invoice #1859065510 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
457,1858995670,canonical_open,1,1,,568,88260,Open,,unknown,,[#88260] Dispute - Invoice #1858995670 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
458,1860722700,canonical_open,1,1,,587,88284,Open,,unknown,,[#88284] Dispute - Invoice #1860722700 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
459,1859140010,canonical_open,1,1,,572,88269,Open,,unknown,,[#88269] Dispute - Invoice #1859140010 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
460,1858868860,canonical_open,1,1,,601,88291,Open,,unknown,,[#88291] Dispute - Invoice #1858868860 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
461,1858981530,canonical_open,1,1,,593,88287,Open,,unknown,,[#88287] Dispute - Invoice #1858981530 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
476,1816477590,canonical_open,1,1,,467,88038,Open,,unknown,,[#88038] Dispute - Invoice #1816477590 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
478,1859896200,canonical_open,1,1,,469,88040,Open,,unknown,,[#88040] Dispute - Invoice #1859896200 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
480,1859040300,canonical_open,1,1,,473,88042,Open,,unknown,,[#88042] Dispute - Invoice #1859040300 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
483,1861381540,canonical_open,1,1,,471,88041,Open,,unknown,,[#88041] Dispute - Invoice #1861381540 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
484,1861385040,canonical_open,1,1,,475,88044,Open,,unknown,,[#88044] Dispute - Invoice #1861385040 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
485,1797972190,canonical_open,1,1,,477,88046,Open,,unknown,,[#88046] Dispute - Invoice #1797972190 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
486,1857952680,canonical_open,1,1,,480,88048,Open,,unknown,,[#88048] Dispute - Invoice #1857952680 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
487,1859507310,canonical_open,1,1,,482,88039,Open,,unknown,,[#88039] Dispute - Invoice #1859507310 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
488,1861502680,canonical_open,1,1,,484,88047,Open,,unknown,,[#88047] Dispute - Invoice #1861502680 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
489,1849978490,canonical_open,1,1,,486,88036,Open,,unknown,,[#88036] Dispute - Invoice #1849978490 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
490,1853940690,canonical_open,1,1,,488,88037,Open,mas_ticket_under_review,acknowledgment,,"Hi Accounting Agape, Ticket Under Review This ticket will be reviewed for GPS compliance. Important Notice: In the future, please use the ""GPS Control Devia"
492,1850245180,canonical_open,1,1,,490,88049,Open,,unknown,,[#88049] Dispute - Invoice #1850245180 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
493,1861718190,canonical_open,1,1,,492,88043,Open,,unknown,,[#88043] Dispute - Invoice #1861718190 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
494,1858984980,canonical_open,1,1,,494,88050,Open,,unknown,,[#88050] Dispute - Invoice #1858984980 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
498,1860033690,canonical_open,1,1,,496,88130,Open,,unknown,,[#88130] Dispute - Invoice #1860033690 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
499,1861750370,canonical_open,1,1,,498,88129,Open,,unknown,,[#88129] Dispute - Invoice #1861750370 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
501,1782763620,canonical_open,1,1,,712,88349,Open,,unknown,,[#88349] Dispute - Invoice #1782763620 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
502,1848959040,canonical_open,1,1,,710,88346,Open,,unknown,,[#88346] Dispute - Invoice #1848959040 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
503,1860943360,canonical_open,1,1,,703,88345,Open,,unknown,,[#88345] Dispute - Invoice #1860943360 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
504,1861175670,canonical_open,1,1,,699,88343,Open,,unknown,,[#88343] Dispute - Invoice #1861175670 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
506,1859769690,canonical_open,1,1,,716,88352,Open,,unknown,,[#88352] Dispute - Invoice #1859769690 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
507,1862137380,canonical_open,1,1,,715,88351,Open,,unknown,,[#88351] Dispute - Invoice #1862137380 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
508,1862139230,canonical_open,1,1,,714,88350,Open,,unknown,,[#88350] Dispute - Invoice #1862139230 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
509,1756282680,canonical_open,1,1,,829,88375,Open,,unknown,,[#88375] Dispute - Invoice #1756282680 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
510,1861982010,canonical_open,1,1,,828,88390,Open,,unknown,,[#88390] Dispute - Invoice #1861982010 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
511,1824044290,canonical_open,1,1,,826,88388,Open,,unknown,,[#88388] Dispute - Invoice #1824044290 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
512,1852610660,canonical_open,1,1,,825,88387,Open,,unknown,,[#88387] Dispute - Invoice #1852610660 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
513,1862003700,canonical_open,1,1,,824,88386,Open,,unknown,,[#88386] Dispute - Invoice #1862003700 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
515,1861838840,canonical_open,1,1,,823,88385,Open,,unknown,,[#88385] Dispute - Invoice #1861838840 - Incomplete GPS (3 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
516,1858408850,synthetic_only,1,0,,1367,AAMkAGFhMzgwZGJjLTNkNjktNDlhYS1hM2I4LTE3MmI4YTlkNzhmMgBGAAAAAAAUhYVsiS-zQLf1GEtAsll-BwBVKgS5MpITR5VyLl_UBcCwAAAAAAEPAABVKgS5MpITR5VyLl_UBcCwAAVILckrAAA=,synthetic,,synthetic,,
517,1858792520,canonical_open,1,1,,822,88384,Open,,unknown,,[#88384] Dispute - Invoice #1858792520 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
518,1859108920,canonical_open,1,1,,821,88383,Open,,unknown,,[#88383] Dispute - Invoice #1859108920 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
520,1861629110,canonical_open,1,1,,641,88340,Open,,unknown,,[#88340] Dispute - Invoice #1861629110 - Incomplete GPS (3 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
521,1861536730,canonical_open,1,1,,820,88381,Open,mas_ticket_under_review,acknowledgment,,"Hi Accounting Agape, Ticket Under Review This ticket will be reviewed for GPS compliance. Important Notice: In the future, please use the ""GPS Control Devia"
522,1859839120,canonical_open,1,1,,925,88417,Open,,unknown,,[#88417] Dispute - Invoice #1859839120 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
523,1861097240,canonical_open,1,1,,819,88380,Open,,unknown,,[#88380] Dispute - Invoice #1861097240 - Time at Medical Facility Too Short (1 ride) : Medical Answering Services /* theme */ .port
524,1861850440,canonical_open,1,1,,717,88353,Open,,unknown,,[#88353] Dispute - Invoice #1861850440 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
525,1858967800,canonical_open,1,1,,818,88379,Open,,unknown,,[#88379] Dispute - Invoice #1858967800 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
526,1859128300,canonical_open,1,1,,817,88378,Open,,unknown,,[#88378] Dispute - Invoice #1859128300 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
527,1838965660,canonical_open,1,1,,816,88377,Open,,unknown,,[#88377] Dispute - Invoice #1838965660 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
528,1859915610,canonical_open,1,1,,815,88376,Open,,unknown,,[#88376] Dispute - Invoice #1859915610 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
529,1859948970,canonical_open,1,1,,814,88374,Open,,unknown,,[#88374] Dispute - Invoice #1859948970 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
530,1856914190,canonical_open,1,1,,812,88372,Open,,unknown,,[#88372] Dispute - Invoice #1856914190 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
532,1858682290,canonical_open,1,1,,739,88341,Open,,unknown,,[#88341] Dispute - Invoice #1858682290 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
535,1860501860,canonical_open,1,1,,729,88348,Open,,unknown,,[#88348] Dispute - Invoice #1860501860 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
538,1826625250,canonical_open,1,1,,728,88347,Open,,unknown,,[#88347] Dispute - Invoice #1826625250 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
542,1861230850,canonical_open,1,1,,726,88344,Open,,unknown,,[#88344] Dispute - Invoice #1861230850 - GPS Deviation Status (1 ride) : Medical Answering Services /* theme */ .portal--light { -
544,1764709550,canonical_open,1,1,,723,88342,Open,,unknown,,[#88342] Dispute - Invoice #1764709550 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
545,1860599670,canonical_open,1,1,,722,88339,Open,,unknown,,[#88339] Dispute - Invoice #1860599670 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
547,1825444370,canonical_open,1,1,,721,88354,Open,,unknown,,[#88354] Dispute - Invoice #1825444370 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
549,1863592490,canonical_open,1,1,,937,88422,Open,,unknown,,[#88422] Dispute - Invoice #1863592490 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
550,1861073780,canonical_open,1,1,,935,88427,Open,,unknown,,[#88427] Dispute - Invoice #1861073780 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
551,1849163690,canonical_open,1,1,,933,88416,Open,,unknown,,[#88416] Dispute - Invoice #1849163690 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
553,1854902170,canonical_open,1,1,,931,88424,Open,,unknown,,[#88424] Dispute - Invoice #1854902170 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
554,1769623550,canonical_open,1,1,,929,88421,Open,,unknown,,[#88421] Dispute - Invoice #1769623550 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
555,1861996070,canonical_open,1,1,,928,88420,Open,,unknown,,[#88420] Dispute - Invoice #1861996070 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
556,1861094450,canonical_open,1,1,,938,88428,Open,,unknown,,[#88428] Dispute - Invoice #1861094450 - Time at Medical Facility Too Short (2 rides) : Medical Answering Services /* theme */ .por
557,1862278760,canonical_open,1,1,,926,88418,Open,,unknown,,[#88418] Dispute - Invoice #1862278760 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
558,1834698690,canonical_open,1,1,,921,88413,Open,,unknown,,[#88413] Dispute - Invoice #1834698690 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
559,1861766790,canonical_open,1,1,,920,88412,Open,,unknown,,[#88412] Dispute - Invoice #1861766790 - GPS Pickup Too Far from Residence (1 ride) : Medical Answering Services /* theme */ .porta
560,1860893080,canonical_open,1,1,,923,88414,Open,,unknown,,[#88414] Dispute - Invoice #1860893080 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
561,1863359360,canonical_open,1,1,,903,88405,Open,,unknown,,[#88405] Dispute - Invoice #1863359360 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
562,1857779860,canonical_open,1,1,,918,88410,Open,,unknown,,[#88410] Dispute - Invoice #1857779860 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
563,1861000070,canonical_open,1,1,,917,88409,Open,,unknown,,[#88409] Dispute - Invoice #1861000070 - GPS Deviation Status (2 rides) : Medical Answering Services /* theme */ .portal--light { 
564,1863832450,canonical_open,1,1,,852,88401,Open,,unknown,,[#88401] Dispute - Invoice #1863832450 - GPS Pickup Too Far from Residence (2 rides) : Medical Answering Services /* theme */ .port
566,1860337610,canonical_open,1,1,,915,88407,Open,,unknown,,[#88407] Dispute - Invoice #1860337610 - Time at Medical Facility Too Short (1 ride) : Medical Answering Services /* theme */ .port
567,1861687740,canonical_open,1,1,,936,88426,Open,,unknown,,[#88426] Dispute - Invoice #1861687740 - GPS Pickup Too Far from Medical Facility (1 ride) : Medical Answering Services /* theme */
569,1863665630,canonical_open,1,1,,854,88402,Open,,unknown,,[#88402] Dispute - Invoice #1863665630 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
570,1863853690,canonical_open,1,1,,851,88400,Open,,unknown,,[#88400] Dispute - Invoice #1863853690 - Incomplete GPS (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-bo
571,1862863300,canonical_open,1,1,,840,88396,Open,,unknown,,[#88396] Dispute - Invoice #1862863300 - Claim Correction (1 ride) : Medical Answering Services /* theme */ .portal--light { --fw-
572,1863011710,canonical_open,1,1,,934,88425,Open,,unknown,,[#88425] Dispute - Invoice #1863011710 - Incomplete GPS (2 rides) : Medical Answering Services /* theme */ .portal--light { --fw-b
